,extension,status,join_date
133,kipandcoinstashop,1,2015-09-22 00:00:00
134,mikayogawear,1,2015-09-22 00:00:00
135,delmarswimwear,1,2015-09-22 00:00:00
136,status_anxiety,1,2015-09-23 00:00:00
137,gypsybeach,1,2015-09-23 00:00:00
138,silklaundry,1,2015-09-24 00:00:00
139,gypsylovinlight,1,2015-09-26 00:00:00
140,sunburnswimwear,1,2015-09-27 00:00:00
141,staticswimwear,1,2015-09-29 00:00:00
142,gilliaclothing,1,2015-09-30 00:00:00
143,officialminkpink,0,2015-09-30 00:00:00
144,cabinandcove,0,2015-09-30 00:00:00
145,bellamihair,1,2015-09-30 00:00:00
146,billabongwomensjapan,1,2015-10-01 00:00:00
147,beginningboutique,1,2015-10-01 00:00:00
148,Nialaya,1,2015-10-01 00:00:00
149,anarchystreet,0,2015-10-01 00:00:00
150,areyouami,1,2015-10-04 00:00:00
151,trulyblessedjewels,1,2015-10-04 00:00:00
152,sivanaspirit,1,2015-10-04 00:00:00
153,wearekindred,1,2015-10-05 00:00:00
154,duetshoes,1,2015-10-05 00:00:00
155,gocontigo,1,2015-10-05 00:00:00
156,societyofnow,1,2015-10-06 00:00:00
157,sjlingerie,1,2015-10-06 00:00:00
158,shopresurrection,1,2015-10-07 00:00:00
159,AsRx,1,2015-10-09 00:00:00
160,olloclip,1,2015-10-12 00:00:00
161,cornerboothstore,1,2015-10-13 00:00:00
162,gypsywarrior,1,2015-10-13 00:00:00
163,staplethelabel,0,2015-10-13 00:00:00
164,shophoneybeat,1,2015-10-14 00:00:00
165,6bygeebeauty,1,2015-10-15 00:00:00
166,shop-marysia-swim-instagram,1,2015-10-15 00:00:00
167,vagabond-beach,1,2015-10-16 00:00:00
168,magalipascal,1,2015-10-16 00:00:00
169,easternsoul,1,2015-10-17 00:00:00
170,nakedvice,1,2015-10-19 00:00:00
171,miannandco,1,2015-10-19 00:00:00
172,BearStrength,0,2015-10-19 00:00:00
173,PinkARROWSBoutique,0,2015-10-19 00:00:00
174,nicdelmar,1,2015-10-19 00:00:00
175,shopinstagram,1,2015-10-20 00:00:00
176,jaggad_shopinsta,1,2015-10-20 00:00:00
177,hendrixandharlow,1,2015-10-21 00:00:00
178,ZCInstashop,1,2015-10-21 00:00:00
179,cheerfulchic,1,2015-10-22 00:00:00
180,suitedmanstyle,1,2015-10-24 00:00:00
181,originalgrain,1,2015-10-26 00:00:00
182,SocietySocial,1,2015-10-27 00:00:00
183,stampd,1,2015-10-27 00:00:00
184,teeki,1,2015-10-27 00:00:00
185,darlingdistraction-insta,1,2015-10-28 00:00:00
186,huxbaby,0,2015-10-28 00:00:00
187,luxeview,1,2015-10-28 00:00:00
188,lackofcolor,1,2015-10-28 00:00:00
189,vitaminaswim,1,2015-10-28 00:00:00
190,catherineweitzman,1,2015-10-28 00:00:00
191,solerebels,1,2015-10-29 00:00:00
192,RevivalRetro,0,2015-10-29 00:00:00
193,poupettestbarth,0,2015-10-29 00:00:00
194,daintyhooligan,1,2015-10-29 00:00:00
195,ADLINAANIS,1,2015-11-02 00:00:00
196,leahalexandra,1,2015-11-02 00:00:00
197,steviemay_byronbay,0,2015-11-03 00:00:00
198,glamcorner,1,2015-11-03 00:00:00
199,mollybrownsswim,1,2015-11-03 00:00:00
200,amazinglace,1,2015-11-04 00:00:00
201,BrighterWhite-Results,0,2015-11-04 00:00:00
202,van-de-vort,1,2015-11-04 00:00:00
203,amusesociety,1,2015-11-04 00:00:00
204,vissla,1,2015-11-04 00:00:00
205,Sky,1,2015-11-06 00:00:00
206,talis,1,2015-11-07 00:00:00
207,pengems,1,2015-11-08 00:00:00
208,weightless,1,2015-11-09 00:00:00
209,khongboon,1,2015-11-09 00:00:00
210,lenni_thelabel,1,2015-11-10 00:00:00
211,swimspot,1,2015-11-12 00:00:00
212,thefreedomstate,1,2015-11-13 00:00:00
213,littlejoewoman,1,2015-11-13 00:00:00
214,clearweatherbrand,1,2015-11-13 00:00:00
215,emcosmetics,0,2015-11-13 00:00:00
216,sea-of-candi-bikini,1,2015-11-13 00:00:00
217,peacecollective,1,2015-11-15 00:00:00
218,craftandcompany,1,2015-11-16 00:00:00
219,liberatedheart,1,2015-11-17 00:00:00
220,vieactive,1,2015-11-18 00:00:00
221,ccccccccc,1,2015-11-19 00:00:00
222,culturekings,0,2015-11-20 00:00:00
223,third_form,1,2015-11-22 00:00:00
224,localsupply,0,2015-11-23 00:00:00
225,nicceclothing,1,2015-11-23 00:00:00
226,summerloveswimwear,1,2015-11-23 00:00:00
227,geebeauty-bal-harbour,1,2015-11-23 00:00:00
