,extension,status,join_date
583,orolosangeles,1,2016-06-08 00:00:00
584,shannonpasssero,1,2016-06-08 00:00:00
585,walker-edison,1,2016-06-08 00:00:00
586,chaos-and-harmony,1,2016-06-09 00:00:00
587,white-bohemian,1,2016-06-09 00:00:00
588,juluxeworld,1,2016-06-09 00:00:00
589,NimbleActivewear,0,2016-06-09 00:00:00
590,effiespaper,1,2016-06-09 00:00:00
591,joyrich,1,2016-06-09 00:00:00
592,tiny-devotions,0,2016-06-09 00:00:00
593,new-balance-classics-new-zealand,1,2016-06-10 00:00:00
594,deuce-brand,0,2016-06-10 00:00:00
595,shop-purple-cow,1,2016-06-10 00:00:00
596,monkhousedesign,1,2016-06-13 00:00:00
597,tiff-manuell,1,2016-06-13 00:00:00
598,misscircle,1,2016-06-13 00:00:00
599,bobobobo2,1,2016-06-14 00:00:00
600,designaglow,1,2016-06-14 00:00:00
601,pacific-and-driftwood,0,2016-06-14 00:00:00
602,fashionable,1,2016-06-15 00:00:00
603,felonycase,0,2016-06-15 00:00:00
604,iron-and-resin,1,2016-06-15 00:00:00
605,mint-boutique,0,2016-06-16 00:00:00
606,brandymelvilleuk,0,2016-06-16 00:00:00
607,pantstore,1,2016-06-17 00:00:00
608,little-design-co,1,2016-06-17 00:00:00
609,dollup-beauty,0,2016-06-17 00:00:00
610,my-cup-runneth-over,1,2016-06-19 00:00:00
611,roger-david,1,2016-06-20 00:00:00
612,couverture-and-the-garbstore,1,2016-06-21 00:00:00
613,blue-eyed-girl,1,2016-06-21 00:00:00
614,nightcap-clothing,1,2016-06-21 00:00:00
615,manning-cartell,1,2016-06-22 00:00:00
616,p-e-nation,1,2016-06-22 00:00:00
617,koko-and-palenki,1,2016-06-22 00:00:00
618,curlformers,1,2016-06-22 00:00:00
619,skinitllc,1,2016-06-22 00:00:00
620,leotanewyork,1,2016-06-23 00:00:00
621,alala,0,2016-06-23 00:00:00
622,daughtersofculture,1,2016-06-24 00:00:00
623,willow-and-the-little-gypsies,0,2016-06-25 00:00:00
624,keyway-designs,1,2016-06-25 00:00:00
625,caroline-receveur,1,2016-06-26 00:00:00
626,the-daily-edited,1,2016-06-27 00:00:00
627,totem-road,1,2016-06-27 00:00:00
628,keepsake-the-label,1,2016-06-27 00:00:00
629,shopthefloor,1,2016-06-27 00:00:00
630,olive-piper,1,2016-06-27 00:00:00
631,lovestrength,1,2016-06-28 00:00:00
632,rovingmode,1,2016-06-28 00:00:00
633,for-elyse,0,2016-06-28 00:00:00
634,running-bare,1,2016-06-29 00:00:00
635,mahiya,1,2016-06-29 00:00:00
636,newcastle-drum-centre,0,2016-06-29 00:00:00
637,reason,1,2016-06-29 00:00:00
638,sisters-and-co,0,2016-06-30 00:00:00
639,berlei,1,2016-06-30 00:00:00
640,the-source,0,2016-06-30 00:00:00
641,brazilianbikinishop,1,2016-06-30 00:00:00
642,real-sports-apparel,1,2016-07-01 00:00:00
643,maddie-merriweather,1,2016-07-03 00:00:00
644,Stheels,0,2016-07-03 00:00:00
645,nature-baby,1,2016-07-05 00:00:00
646,ivory-ella,1,2016-07-05 00:00:00
647,vrs-design,0,2016-07-05 00:00:00
648,the-lingerie-store-usa,1,2016-07-05 00:00:00
649,bolt-of-cloth,1,2016-07-06 00:00:00
650,ldc-fashion,1,2016-07-06 00:00:00
651,picpoket,1,2016-07-06 00:00:00
652,too-much,0,2016-07-06 00:00:00
653,angie-crabtree,0,2016-07-06 00:00:00
654,shoplemonde,1,2016-07-06 00:00:00
655,primness,1,2016-07-07 00:00:00
656,w-and-p-design,1,2016-07-07 00:00:00
657,colourpop,1,2016-07-08 00:00:00
658,urban-escape,1,2016-07-08 00:00:00
659,manieredevoir,1,2016-07-08 00:00:00
660,bycharlotte,1,2016-07-09 00:00:00
661,beyondbeanie,1,2016-07-09 00:00:00
662,paolocostagliofficial,1,2016-07-09 00:00:00
663,pleasedonttell,1,2016-07-10 00:00:00
664,zodelise,1,2016-07-11 00:00:00
665,marla-aaron,1,2016-07-11 00:00:00
666,tigerlily,1,2016-07-12 00:00:00
667,unique-cases,1,2016-07-12 00:00:00
668,madame-fancy-pants,1,2016-07-12 00:00:00
669,zobha,1,2016-07-13 00:00:00
670,minimarketbyvandevort,1,2016-07-13 00:00:00
671,american-rag,1,2016-07-14 00:00:00
672,ban-do-wholesale,1,2016-07-14 00:00:00
673,luke-rose-jewellery,1,2016-07-16 00:00:00
674,love-xo-piper,1,2016-07-16 00:00:00
675,KaiKini,1,2016-07-16 00:00:00
676,two-tykes,1,2016-07-16 00:00:00
677,monpetitbikini,1,2016-07-18 00:00:00
678,maison-du-soir,1,2016-07-18 00:00:00
679,miss-crabb,1,2016-07-18 00:00:00
680,neuw-mens-looks,1,2016-07-19 00:00:00
681,neuw-womens-looks,1,2016-07-19 00:00:00
682,sixthjune,1,2016-07-19 00:00:00
683,covetdance,1,2016-07-19 00:00:00
684,camilynbeth,1,2016-07-19 00:00:00
685,cami-nyc,1,2016-07-19 00:00:00
686,southern-hippie,1,2016-07-19 00:00:00
687,quiwi-house,1,2016-07-20 00:00:00
688,temperley-london,1,2016-07-20 00:00:00
689,glorious-pasties,1,2016-07-20 00:00:00
690,gjenmi,1,2016-07-20 00:00:00
691,groovys,1,2016-07-20 00:00:00
692,tilebar,1,2016-07-20 00:00:00
693,marika,1,2016-07-20 00:00:00
694,clocks-and-colours,1,2016-07-20 00:00:00
695,ps-the-label,1,2016-07-21 00:00:00
696,indlights,1,2016-07-21 00:00:00
697,lane-201,1,2016-07-21 00:00:00
698,sukishufu-llp,1,2016-07-21 00:00:00
699,victoria-elizabeth-barnes,1,2016-07-22 00:00:00
700,albion,1,2016-07-22 00:00:00
701,peculiar,0,2016-07-23 00:00:00
702,drumshop-uk,0,2016-07-23 00:00:00
703,skye-group,1,2016-07-24 00:00:00
704,babu,1,2016-07-26 00:00:00
705,auguststreet,1,2016-07-26 00:00:00
706,bodyrock,1,2016-07-26 00:00:00
707,red-carter,1,2016-07-27 00:00:00
708,goldsheep,1,2016-07-28 00:00:00
709,inkspot-workshop,0,2016-07-28 00:00:00
710,lavishalice,1,2016-07-28 00:00:00
711,everydaycalifornia,1,2016-07-28 00:00:00
712,spiritjersey,1,2016-07-28 00:00:00
713,thefabulousrag,0,2016-07-28 00:00:00
714,laagam,1,2016-07-29 00:00:00
715,emprada,1,2016-07-30 00:00:00
716,2eros,1,2016-07-31 00:00:00
